Bol Number;Arrival Date;Company Name;Supplier Name;Product Description;Port Of Entry;Shipping Port;Supplier Country;TEU;Weight
OOLU271346016002;07.03.23;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;446
OOLU271335984023;18.02.23;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;319
OOLU271335984032;18.02.23;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;1667
LJITRT2203407;28.01.23;Fagor Ederlan Mexico S A De C V;Rs International Gmbh;Primary Foundry Aluminium Alloy Bar Brand Rusal Additional Marking Three Yellow Vertical Lines;New Orleans, La;St. Petersburg;Russia;0;130811
LJITRT2203408;28.01.23;Fagor Ederlan Mexico S A De C V;Rs International Gmbh;Primary Foundry Aluminium Alloy Bar Brand Rusal Additional Marking Three Yellow Vertical Lines;New Orleans, La;St. Petersburg;Russia;0;129202
OOLU271110633005;29.12.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;New Orleans, La;Veracruz;Mexico;01.May;655
OOLU270943352010;13.12.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;New Orleans, La;Veracruz;Mexico;01.May;1529
HCGMRT2202749;21.11.22;Fagor Ederlan Mexico S A De C V;Rti Limited;Primary Foundry Aluminium Alloy Bar;New Orleans, La;St. Petersburg;Russia;0;20134
SJOMRT2202531;02.11.22;Fagor Ederlan Mexico S A De C V;Rti Limited;Primary Foundry Aluminium Alloy Bar Brand Boaz Additional Marking Three Orange Vertical Lines;New Orleans, La;St. Petersburg;Russia;0;131493
LJITRT2202022;11.08.22;Fagor Ederlan Mexico S A De C V;Rti Limited;Primary Foundry Aluminium Alloy Bar Brand Boaz Additional Marking Three Green Vertical Lines;New Orleans, La;St. Petersburg;Russia;0;150838
OOLU270100580022;21.07.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;1804
OOLU270100580011;21.07.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;153
OOLU269758781001;30.05.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;1091
OOLU269758781006;30.05.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;1902
OOLU269255425001;22.04.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;752
OOLU269255423002;22.04.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;1657
OOLU269255423007;22.04.22;Bmw Ag;Fagor Ederlan Mexico S A De C V;Suspension System;Houston, Tx;Veracruz;Mexico;01.May;764
