Bol Number,Arrival Date,Company Name,Supplier Name,Product Description,Port Of Entry,Shipping Port,Supplier Country,Weight
MEDUI2658231,16.08.21,Akwel Orizaba Mexico Sa De Cv,A Raymond Baglanti Elemanlari San,Plastic Quick Connector Plastic Quick Connector,"Miami, Fl",Gioia Tauro,Turkey,6097.0
MEDUI2561120,29.06.21,Akwel Orizaba Mexico Sa De Cv,A Raymond Baglanti Eleman San Tic L,Plastic Quick Connector Plastic Quick Connector,"Miami, Fl",Sines,Turkey,5200.0
OOLU265779822006,28.01.21,Bmw Ag Werk,Akwel Orizaba Mexico Sa De Cv,Automotoparts,"Houston, Tx",Veracruz,Mexico,46.0
OOLU265646287007,01.01.21,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Rubber Hose,"Houston, Tx",Veracruz,Mexico,23.0
OOLU265348582011,06.12.20,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Rubber Hose,"Houston, Tx",Veracruz,Mexico,310.0
OOLU265290093011,27.11.20,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Rubber Hose,"Houston, Tx",Veracruz,Mexico,99.0
OOLU265246207004,24.11.20,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Rubber Hose,"Houston, Tx",Veracruz,Mexico,66.0
HLCUME3KJ65474AA,12.11.20,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Automotive Autoparts Automotive,"Houston, Tx",Veracruz,Mexico,10096.0
CMDUMXO0496661,30.09.20,Bmw Ag,Akwel Orizaba Mexico Sa De Cv,Cmau Autoparts Automotive Generic,"Houston, Tx",Veracruz,Mexico,42.0
DMALMEXA08961,25.09.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,133.0
DMALMEXA08964,25.09.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,365.0
DMALMEXA08814,16.09.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,283.0
DMALMEXA08751,16.09.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,60.0
DMALMEXA08380,11.09.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,77.0
DMALMEXA08581,11.09.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,49.0
CMDUSSZ0820798,07.09.20,Akwel Orizaba Mexico Sa De Cv,Norma Do Brasil Sistemas De Conex O Ltda,Cmau Conector Customer Conector Customer,"Houston, Tx",Port Bustamante,Brazil,6997.0
CMDUSSZ0820790,07.09.20,Akwel Orizaba Mexico Sa De Cv,Norma Do Brasil Sistemas De Conex O Ltda,Gesu Conector Customer Conector Customer,"Houston, Tx",Port Bustamante,Brazil,6606.0
CMDUSSZ0820798,19.08.20,Akwel Orizaba Mexico Sa De Cv,Norma Do Brasil Sistemas De Conex O Ltda,Cmau Conector Customer Conector Customer,"New Orleans, La",Sao Paulo,Brazil,6997.0
CMDUSSZ0820790,19.08.20,Akwel Orizaba Mexico Sa De Cv,Norma Do Brasil Sistemas De Conex O Ltda,Gesu Conector Customer Conector Customer,"New Orleans, La",Sao Paulo,Brazil,6606.0
DMALMEXA05705,22.04.20,Adam Opel Ag Ipc,Akwel Orizaba Mexico Sa De Cv,Automotive,"Houston, Tx",Veracruz,Mexico,176.0
