Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
Europe,Tesla,Tesla,Model Y (Germany),2022,"Yanfeng Automotive Trim Systems Co., Ltd.",Center console,Console,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,"Yanfeng Automotive Trim Systems Co., Ltd.",Rear armrest,Console,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,"Yanfeng Automotive Safety Systems Co., Ltd.",Driver airbag,Driver Airbag,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,"Yanfeng International Seating Systems Co., Ltd. (Formerly Yanfeng Adient Seating Co., Ltd.)",Headrest,Headrest,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,BOGE Elastmetall GmbH,Brake pedal,Pedal,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,Preh GmbH,Seat adjustment switch,Seat Adjuster / Recliner,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,ZF Friedrichshafen AG,Center airbag,Side Airbag,Interior_Exterior
Europe,Tesla,Tesla,Model Y (Germany),2022,IDEAL Automotive GmbH,Parcel shelf,Trunk / Tailgate Trim,Interior_Exterior
China,Tesla China,Tesla,Model Y (RR) (China),2022,Lite-On Technology Corporation,Matrix module for ADB headlamp,Head Lamp (AFS),Interior_Exterior
China,Tesla China,Tesla,Model Y (RR) (China),2022,"Jiangsu Xinquan Automotive Trim Co., Ltd.",Sub-instrument panel,Instrument Panel,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,"Minghua de México, S.A. de C.V.",Front bumper,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,"Minghua de México, S.A. de C.V.",Rear bumper,Bumper,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Grupo Antolin North America Inc.,Pillar trim,Door Trim,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Hella GmbH & Co. KGaA (FORVIA HELLA),LED head lamp,Head Lamp,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Cultraro Automazione Engineering S.r.l.,Door handle damper,Outside Door Handle,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Bosch [Robert Bosch LLC],Seat adjuster motor,Seat Adjuster / Recliner,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Bosch [Robert Bosch LLC],Seat recliner motor,Seat Adjuster / Recliner,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Front row seat belt pretensioner,Seat Belt Pretensioner,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,"Autoliv ASP, Inc. - Auburn Hills Technical Center",Front seat belt retractor,Seat Belt Pretensioner,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Compagnie de Saint-Gobain S.A.,Front door window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Compagnie de Saint-Gobain S.A.,Front window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Compagnie de Saint-Gobain S.A.,Rear door window glass,Window Glass,Interior_Exterior
Americas,Tesla,Tesla,Model Y (USA),2022,Fuyao Glass America Inc.,Rear quarter window glass,Window Glass,Interior_Exterior
China,Tesla China,Tesla,Model Y Performance (4WD) (China),2022,Lite-On Technology Corporation,Matrix module for ADB headlamp,Head Lamp (AFS),Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Yanfeng Plastic Omnium Automotive Exterior Systems Co., Ltd.",Front bumper,Bumper,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Yanfeng Plastic Omnium Automotive Exterior Systems Co., Ltd.",Rear bumper,Bumper,Interior_Exterior
China,Tesla China,Tesla,Model 3 (RR) (China),2021,"Jiangsu Xinquan Automotive Trim Co., Ltd.",Center console,Console,Interior_Exterior
