Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Battery cooling system nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Body control ECU screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Body controller bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Body controller nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Body wiring harness screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Brake booster nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Brake pedal bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Brake pedal nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Bumper screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",C pillar trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Cabin filter nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,EFC International,Center console clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Center console screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Ceter console bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Charge port bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Charge port screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Coolant reservoir bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Dash support frame bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Dash support frame bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Dash support frame nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Door trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",ESC sensor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Exterior mirror bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Exterior trim fitting bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Nix of America,Exterior trim fitting push-pull rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,EJOT Fastening Systems L.P.,Exterior trim fitting screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front airbag bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front body inner panel bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front bumper carrier bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front bumper fascia rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front coil spring and damper nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front disc brake bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front door hinge bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front door hinge fitting bolt and washer,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Front door hinge screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front door latch bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front door window glass bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front energy absorber bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front fender bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Front inner panel bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front knuckle bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front knuckle nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front lamp screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Front luggage storage bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Nix of America,Front luggage storage sealing rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front outside door handle nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",Front seat belt box clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front seat belt screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front seat controller bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front seat slider bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front seat slider bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Front traction motor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front traction motor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Mission Plastics, Inc.",Front trunk fender clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front undertray bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Front undertray nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front view camera screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Front window regulator nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",GPS antenna screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Headliner bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Futuris Automotive Components (Wuxi) Co., Ltd.",Headliner bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Heater bolt and washer,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Heater nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",High-voltage battery bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,High-voltage battery bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Blove Light Precision HK Co.,Ltd.",High-voltage battery clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",High-voltage battery nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,High-voltage battery screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,High-voltage wiring harness bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",High-voltage wiring harness nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Horn bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Horn nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Impact sensor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Integrated ECU nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Integrated ECU screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Interior camera screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Interior mirror screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",License plate mount screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Liftgate trim clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Motor bay absorber nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Penthouse bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Penthouse bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Penthouse nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Penthouse nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,EJOT Fastening Systems L.P.,Penthouse screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Radar sensor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Radar sensor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Radio antenna screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Radio bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear brake rotor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Rear bumper bolt and washer,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear door window glass bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear end panel bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Bollhoff Inc.,Rear end panel rivet nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear energy absorber nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear knuckle bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear lamp nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear outside door handle nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear seat belt bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear seat frame bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Bollhoff Inc.,Rear seat frame rivet nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear seat nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear seat side trim rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Rear suspension arm nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"L & W, Inc.",Rear suspension arm washer,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Rear traction motor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear traction motor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Bollhoff Inc.,Rear undertray retainer rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Bollhoff Inc.,Rear undertray rivet nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Rear window regulator nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Rocker panel screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Bollhoff Inc.,Seat frame rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Faurecia (Wuxi) Seating Components Co., Ltd.",Seat recliner shaft push nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Side sill clip,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Speaker bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Speaker screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Speaker screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Steering column bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Steering column bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Steering column nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Steering gear bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Steering wheel bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Sun visor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Trailer hitch bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Trailer hitch nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Trailer hitch nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Nix of America,Truck interior push-pull rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Trunk handle nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Trunk hinge fitting nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Trunk latch bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Trunk latch bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Underhood shock tower cover rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Wheel arch liner rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Wheel nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Window regulator screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Windshield washer bottle nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Windshield washer pump nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,"Bossard, Inc",Windshield wiring harness screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Wiper bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,Norm Civata San. Ve Tic. A.S.,Wiper bolt and washer,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,QST International Corp.,Wiring harness screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model 3 (USA),2021,STANLEY Engineered Fastening (Formerly Emhart Teknologies LLC),Rear lamp grommet,Grommet,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Axiom Plastics Inc.,Front wheel arch liner,Acoustic Insulator,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Quicksilver Mfg, Inc.",Wheel arch liner sensor cover,Acoustic Insulator,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Techniplas US, LLC (Formery Nyloncraft, Inc.)",Wheel louver liner,Acoustic Insulator,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Futuris Automotive Components (Wuxi) Co., Ltd.",Door cable retainer,Control Cable,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Bal Seal Engineering Inc.,High-voltage cable shield band,Control Cable,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Norm Civata San. Ve Tic. A.S.,12V battery fitting bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,MTA USA Corp.,12V battery fitting nut,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",A/C condenser screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Norm Civata San. Ve Tic. A.S.,A/C pipe and hose bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Acceleration sensor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,Norm Civata San. Ve Tic. A.S.,Acceleration sensor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Air suspension compressor bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Air suspension reservoir bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Antenna screw,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Battery cooling system bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,"Bossard, Inc",Body controller bolt,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,STANLEY Engineered Fastening (Formerly Emhart Teknologies LLC),Body panel rivet,Fastener,General/Smallparts
Americas,Tesla,Tesla,Model S (USA),2021,STANLEY Engineered Fastening (Formerly Emhart Teknologies LLC),Body side panel stud,Fastener,General/Smallparts
