Region,Maker,Brand,Model,Model year,Supplier,Products,Component category,Category
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"BOE Technology Group Co., Ltd.",Center information display,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Wuxi Sharp Display Technology Co., Ltd.",Center information display,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Wuhu Token Sciences Co., Ltd.",Central control screen module,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Foxconn Interconnect Technology Limited,Digital meter display,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Cypress Semiconductor Corporation,Driver circuit for central control screen,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Corning Automotive Glass Solutions (Hefei) Co., Ltd.",Glass cover for central control screen,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,TPK Material Solutions (Xiamen) Inc.,Touch screen,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Laibao Hi-tech Co., Ltd. (Formerly Shenzhen Laibao Vacuum Technology Co., Ltd.)",Touch screen components,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Crystal Clear Electronic Material Co., Ltd. (Formerly Suzhou Crystal Clear Chemical Co., Ltd.)",Touch screen components,Display,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Chaohua Technology Co., Ltd.",Calendered copper foil for FPC,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Kinwong Electronic Co., Ltd.",Calendered copper foil for FPC,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Wazam New Materials Co., Ltd.(Formerly Zhejiang Huazheng Electronic Group Co., Ltd.)",Copper clad laminate for PCB,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shengyi Technology Co., Ltd.",Copper clad laminate for PCB,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Goldenmax International Technology Ltd. (Formerly Shanghai Guoji Electronic Material Co., Ltd.)",Copper clad laminate for PCB,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Suzhou Dongshan Precision Manufacturing Co., Ltd.",Flexible printed circuit board (FPC),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Zhen Ding Technology Holding Limited,FPC for central control screen,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Mektec Corporation Kaohsiung Plant,FPC for central control screen,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,NXP Semiconductors N.V.,Milliwave radar controller chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Chaohua Technology Co., Ltd.",Polyester film for FPC,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Chaohua Technology Co., Ltd.",Polyimide film for FPC,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"WUS Printed Circuit (Kunshan) Co., Ltd.",Printed circuit board (PCB),Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Guangdong Chaohua Technology Co., Ltd.",Special wood pulp paper for PCB,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shenzhen Kinwong Electronic Co., Ltd.",Special wood pulp paper for PCB,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Texas Instruments Inc.,Traction motor controller chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Zhejiang Yinlun Machinery Co., Ltd.",Water cooling parts for ADAS chip,Electronic Control Unit,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Leopold Kostal GmbH & Co. KG,Steering column control module,Lever Combination Switch,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,NVIDIA Corporation,Virtual instrument cluster,Meter,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Continental AG,Long range radar,Milliwave and Laser Radar / LiDAR,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Valeo Group,Milliwave radar,Milliwave and Laser Radar / LiDAR,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Continental AG,Short range radar,Milliwave and Laser Radar / LiDAR,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Delta Electronics (Thailand) Public Co., Ltd.",Blower motor,Motor / Actuator,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Inteva Automotive Door Systems Co., Ltd. (Inteva SDADS)",Front power window motor,Motor / Actuator,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Bosch Automotive Products (Suzhou) Co., Ltd.",Front wiper motor,Motor / Actuator,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Shanghai Inteva Automotive Door Systems Co., Ltd. (Inteva SDADS)",Rear power window motor,Motor / Actuator,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Continental AG,Radar sensor control unit,Object Detection ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Mobileye Vision Technologies Ltd.,Front inline triple camera,On-board Camera,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Mobileye (Shanghai) Automotive Service Co., Ltd.",On-board camera,On-board Camera,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"LianChuang Electronic Technology Co., Ltd. (Formerly China-Hemp Industrial Investment Co., Ltd.)",On-board camera lens,On-board Camera,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Tesla,Triple front camera,On-board Camera,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Valeo Group,Ultrasonic sensor,Park Assist System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,"Suzhou Anjie Technology Co., Ltd.",Electric power steering ECU,Power Steering ECU,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Bitron Industrie S.p.A.,Engine hood switch,Switch,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Shanghai Baolong Automotive Corporation,Tire pressure monitoring system,Tire Pressure Monitoring System,Electrical
China,Tesla China,Tesla,Model 3 (RR) (China),2022,Shanghai Baolong Automotive Corporation,Tire pressure monitoring system ECU,Tire Pressure Monitoring System,Electrical
